|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
2;	40;	21727;	0.487291;	0.492153;	22453;	176;	478;	476
3;	39;	21509;	0.485553;	0.486912;	11966;	207;	505;	475
6;	36;	21777;	0.479139;	0.478900;	0;	498;	498;	476
9;	33;	21750;	0.470562;	0.473609;	0;	577;	577;	527
4;	38;	21678;	0.483625;	0.487637;	543;	317;	481;	471
3;	39;	21853;	0.485553;	0.489544;	8574;	221;	517;	481
6;	36;	21735;	0.479139;	0.478077;	0;	584;	584;	516
3;	39;	21572;	0.485553;	0.485027;	1008;	302;	528;	482
5;	37;	21569;	0.481493;	0.484770;	159;	350;	480;	470
3;	39;	21793;	0.485553;	0.486624;	1159;	292;	522;	490
1;	41;	21579;	0.488854;	0.488577;	264266;	-2;	556;	498
4;	38;	21504;	0.483625;	0.484840;	2010;	276;	480;	466
4;	38;	21530;	0.483625;	0.479796;	90;	370;	502;	486
5;	37;	21658;	0.481493;	0.478807;	3;	464;	474;	466
6;	36;	21739;	0.479139;	0.484659;	32;	390;	492;	452
9;	33;	21882;	0.470562;	0.471849;	0;	631;	631;	539
1;	41;	21511;	0.488854;	0.488401;	343;	332;	490;	462
4;	38;	21558;	0.483625;	0.480471;	41;	391;	487;	479
3;	39;	21636;	0.485553;	0.486412;	609;	313;	503;	451
4;	38;	21443;	0.483625;	0.482768;	4178;	248;	478;	460
2;	40;	21533;	0.487291;	0.492128;	45342;	140;	470;	466
5;	37;	21529;	0.481493;	0.481072;	0;	529;	529;	481
5;	37;	21859;	0.481493;	0.482181;	1171;	292;	480;	468
5;	37;	21744;	0.481493;	0.479535;	1;	481;	487;	481
1;	41;	21701;	0.488854;	0.493111;	10228;	213;	489;	477
4;	38;	21733;	0.483625;	0.483688;	4;	428;	492;	434
6;	36;	21541;	0.479139;	0.474305;	0;	647;	647;	451
5;	37;	21771;	0.481493;	0.473795;	0;	653;	653;	493
4;	38;	21741;	0.483625;	0.485856;	202;	349;	489;	481
3;	39;	21573;	0.485553;	0.483150;	11;	427;	485;	457
5;	37;	21779;	0.481493;	0.480830;	17;	415;	483;	471
4;	38;	21516;	0.483625;	0.482106;	274;	340;	494;	484
2;	40;	21418;	0.487291;	0.478756;	68;	378;	544;	526
5;	37;	21687;	0.481493;	0.481533;	116;	366;	464;	462
3;	39;	21667;	0.485553;	0.485439;	19779;	184;	484;	454
4;	38;	21582;	0.483625;	0.485312;	2843;	261;	469;	443
5;	37;	21599;	0.481493;	0.477892;	3;	464;	504;	502
3;	39;	21847;	0.485553;	0.483545;	315;	338;	532;	482
6;	36;	21483;	0.479139;	0.476051;	0;	653;	653;	511
3;	39;	21722;	0.485553;	0.481678;	14;	419;	483;	451
3;	39;	21715;	0.485553;	0.486576;	0;	479;	479;	451
4;	38;	21523;	0.483625;	0.484691;	1246;	289;	507;	463
3;	39;	21715;	0.485553;	0.486945;	3173;	260;	478;	466
